objectid,evidencnecislovrtupomocne,evidencnecislovrtu,povodneevidencnecislo,mapa,povodie,hydrorajon,lokalita,prevadzajucaorganizacia,suradnicax,suradnicay,suradnicazteren,suradnicazpazenie,hlbkavrtu,typvrtu,typvrtupopis,archivnecislospravy,archivnecisloretazec,utajeniespravydo,spracovaldatum,poznamka,pdf
3744,M-33-132-B-a/197,197,HGV-1,M-33-132-B-a,Váh,48 Q,Horná Streda,,1230689.472,514190.778,165.912,,14,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,87801,,,1223424000000,,132Ba197.pdf
3763,M-33-132-B-b/1,1,MO-1,M-33-132-B-b,Váh,47 MG,Modrová,4468,1232716,507724.81,199.02,199.52,104,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,33648,,,166147200000,,132Bb1.pdf
3764,M-33-132-B-b/2,2,MO-2,M-33-132-B-b,Váh,47 MG,Modrová,4468,1232492,507966.31,188.66,189.66,22,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,33648,,,166147200000,,132Bb2.pdf
3767,M-33-132-B-b/5,5,HV-222,M-33-132-B-b,Váh - Modrovský potok,47 MG,Modrovka,542 400 14,1230645.76,511815.86,172.57,173.2,20,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,36070,,,217641600000,,132Bb5.pdf
3768,M-33-132-B-b/6,6,HMO-1,M-33-132-B-b,Váh,47 MG,Modrová,4203/76,1230706,510369.31,195.5,,70,2,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou s artézskym prelivom,40527,,,277516800000,,132Bb6.pdf
3769,M-33-132-B-b/7,7,HMO-2,M-33-132-B-b,Váh,47 MG,Modrová,4203/76,1230782,510376.91,196.5,,60,2,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou s artézskym prelivom,40527,,,277516800000,,132Bb7.pdf
3770,M-33-132-B-b/8,8,HMO-3,M-33-132-B-b,Váh,47 MG,Modrová,4203/76,1230662,510422.59,195,,42,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,40527,,,277516800000,,132Bb8.pdf
3771,M-33-132-B-b/9,9,HB-4,M-33-132-B-b,Váh,47 MG,Hubina,,1233682,511805,195,,24.5,15,negatívny vrt,42186,,,286502400000,,132Bb9.pdf
3772,M-33-132-B-b/10,10,HVM-1,M-33-132-B-b,Váh,47 MG,Modrová,,1232986,507498,270,,7.7,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,64731,,,585532800000,,132Bb10.pdf
3773,M-33-132-B-b/11,11,HV-1,M-33-132-B-b,Váh,47 MG,Stará Lehota,Agrostav Trenčín,1230653,506843.91,320,,12,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,67888,,,612662400000,,132Bb11.pdf
3777,M-33-132-B-b/16,16,LUC-2,M-33-132-B-b,Váh,47 MG,Hubina,,1232667.843,510608.438,249.8,,264,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,87939,,,1224460800000,N 26.8.2008 / 26.8.2018,132Bb16.pdf
3025,M-33-131-B-a/14,14,H-6,M-33-131-B-a,Morava-Myjava,3 Q,Hlboké,53/63,1229028,549429.88,197.5,197.7,22,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,13779,,,158544000000,,131Ba14.pdf
3026,M-33-131-B-a/15,15,H-7,M-33-131-B-a,Morava-Myjava,3 Q,Hlboké,53/63,1228897,549650.5,197.3,197.7,20,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",13779,,,158544000000,,131Ba15.pdf
3027,M-33-131-B-a/16,16,HV-201,M-33-131-B-a,Morava,6 QN,Šajdíkove Humence,,1226915,557332.88,201.85,202.976,14,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,24066,,,179280000000,,131Ba16.pdf
3029,M-33-131-B-a/18,18,HV-203,M-33-131-B-a,Morava,6 QN,Šajdíkove Humence,,1226573,556521.13,205.22,206.01,11,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,24066,,,179366400000,,131Ba18.pdf
3030,M-33-131-B-a/19,19,HV-204,M-33-131-B-a,Morava,6 QN,Šajdíkove Humence,,1226704,556801.5,204.46,205.35,12,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,24066,,,179452800000,,131Ba19.pdf
3032,M-33-131-B-a/21,21,HV-206,M-33-131-B-a,Morava,6 QN,Cerová-Lieskové,,1229766,549541.31,205,205.294,20.5,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,24066,,,179452800000,,131Ba21.pdf
3033,M-33-131-B-a/22,22,HV-207,M-33-131-B-a,Morava,6 QN,Cerová-Lieskové,542 400 012,1230065,549137.63,207.65,208.333,23,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,24066,,,179452800000,,131Ba22.pdf
3035,M-33-131-B-a/24,24,HV-209,M-33-131-B-a,Morava,6 QN,Cerová-Lieskové,542 400 012,1229864,549317.31,209.01,209.546,20.2,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,24066,,,179539200000,,131Ba24.pdf
3036,M-33-131-B-a/25,25,HV-1,M-33-131-B-a,Morava-Myjava,6 QN,Šajdíkove Humence,3204/76,1225278.64,555286.46,186.75,187.42,6.5,13,vrt pre vodné dielo,40491,,,276739200000,,131Ba25.pdf
3038,M-33-131-B-a/27,27,HZ-1,M-33-131-B-a,Morava,6 QN,Dubník-Šajdíkove Humence,,1225389.59,554810.63,192.5,,9,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",49184,,,370742400000,,131Ba27.pdf
3039,M-33-131-B-a/28,28,VS-1,M-33-131-B-a,Morava,6 QN,Dubník-Šajdíkove Humence,,1225345.32,554919.83,191,,9,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",49184,,,370742400000,,131Ba28.pdf
3043,M-33-131-B-b/2,2,999,M-33-131-B-b,Morava-Myjava,44 N-M,JRD Osuské,1890/59,1229786,543690.81,218,218.7,13.5,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,6897,,,158544000000,,131Bb2.pdf
3047,M-33-131-B-b/7,7,HVSJ-2,M-33-131-B-b,Morava-Myjava,44 N-M,Osuské,42 442 271,1229384,543883.81,215.49,,74,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,34240,,,191116800000,,131Bb7.pdf
3048,M-33-131-B-b/9,9,HVV-1,M-33-131-B-b,Morava-Myjava,53 MN,Hradište pod Vrátnom,5/76,1229731,540185.63,231.5,,73,2,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou s artézskym prelivom,42191,,,286588800000,,131Bb9.pdf
3049,M-33-131-B-b/10,10,HV-2,M-33-131-B-b,Morava-Myjava,53 MN,Hradište pod Vrátnom,,1229851,540552,230.7,,12,3,"širokoprofilový vrt (Ø vŕtania nad 600 mm) s obyčajnou pitnou a úžitkovou vodou, kopaná studňa",44341,,,313286400000,,131Bb10.pdf
3053,M-33-131-B-b/14,14,HGB-1,M-33-131-B-b,Morava,2 N,Jablonica,ŠM Dolný Lieskov,1229720.7,547590.15,211.54,212.62,16,0,,70588,,,656553600000,,131Bb14.pdf
3054,M-33-131-B-b/15,15,HGB-2,M-33-131-B-b,Morava,2 N,Jablonica,,1229806.99,547723.4,207.84,208.88,15,0,,70588,,,,,131Bb15.pdf
3055,M-33-131-B-b/16,16,HGB-3,M-33-131-B-b,Morava,2 N,Jablonica,ŠM Dolný Lieskov,1229363.17,547838.16,211.09,211.51,16,0,,70588,,,656553600000,,131Bb16.pdf
3056,M-33-131-B-b/17,17,HGBP-1,M-33-131-B-b,Morava,2 N,Jablonica,ŠM Dolný Lieskov,1229397.11,547672.85,211.82,212.45,10,0,,70588,,,656553600000,,131Bb17.pdf
3057,M-33-131-B-b/18,18,HGBP-2,M-33-131-B-b,Morava,2 N,Jablonica,ŠM Dolný Lieskov,1229462.02,547660.64,212.65,213.34,10,0,,70588,,,656553600000,,131Bb18.pdf
3058,M-33-131-B-b/19,19,HGBP-3,M-33-131-B-b,Morava,2 N,Jablonica,ŠM Dolný Lieskov,1229426.73,547578.3,212.95,213.53,10,0,,70588,,,,,131Bb19.pdf
3059,M-33-131-B-b/20,20,HGBP-4,M-33-131-B-b,Morava,2 N,Jablonica,,1229165.34,547690.1,210.42,211.08,10,0,,70588,,,656553600000,,131Bb20.pdf
3060,M-33-131-B-b/21,21,HGBP-5,M-33-131-B-b,Morava,2 N,Jablonica,ŠM Dolný Lieskov,1229075.22,547530.43,215.71,216.36,10,0,,70588,,,656553600000,,131Bb21.pdf
3061,M-33-131-B-b/22,22,HGBP-6,M-33-131-B-b,"Morava
Morava",2 N,Jablonica,ŠM Dolný Lieskov,1228979.48,547546.29,216.86,217.18,10,0,,70588,,,656553600000,,131Bb22.pdf
3062,M-33-131-B-b/23,23,HAS-1,M-33-131-B-b,Morava,2 N,Senica,,1229001.77,547222.49,216,,100,1,úzkoprofilový vrt s obyčajnou pitnou a úžitkovou vodou,82504,,,953683200000,,131Bb23.pdf
